Year,State Name,Indicator,Data Value
2017,Alaska,Number of Deaths,"4,283"
2017,Alaska,Cocaine (T40.5),20
2017,Alaska,Heroin (T40.1),46
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",103
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",49
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",33
2017,Alaska,Psychostimulants with abuse potential (T43.6),68
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",32
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",106
2017,Alaska,Methadone (T40.3),
2017,Alaska,Natural & semi-synthetic opioids (T40.2),48
2017,Alaska,Number of Drug Overdose Deaths,148
2017,Alaska,Heroin (T40.1),46
2017,Alaska,Percent with drugs specified,97.2972973
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",74
2017,Alaska,Cocaine (T40.5),22
2017,Alaska,Number of Deaths,"4,299"
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",52
2017,Alabama,Number of Drug Overdose Deaths,795
2017,Alabama,Number of Deaths,"51,794"
2017,Alabama,Percent with drugs specified,61.76100629
2017,Alabama,Number of Drug Overdose Deaths,808
2017,Alabama,Number of Deaths,"52,075"
2017,Alabama,Percent with drugs specified,64.10891089
2017,Alabama,Number of Deaths,"52,307"
2017,Alabama,Number of Drug Overdose Deaths,807
2017,Alabama,Percent with drugs specified,69.02106568
2017,Alabama,Number of Drug Overdose Deaths,759
2017,Alabama,Number of Deaths,"51,542"
2017,Alabama,Percent with drugs specified,59.42028986
2017,Alabama,Percent with drugs specified,58.97771953
2017,Alabama,Number of Drug Overdose Deaths,763
2017,Alabama,Number of Deaths,"51,652"
2017,Alabama,Number of Drug Overdose Deaths,809
2017,Alabama,Percent with drugs specified,63.90605686
2017,Alabama,Number of Deaths,"52,035"
2017,Alabama,Percent with drugs specified,62.68656716
2017,Alabama,Number of Drug Overdose Deaths,804
2017,Alabama,Number of Deaths,"52,000"
2017,Alabama,Number of Drug Overdose Deaths,794
2017,Alabama,Number of Deaths,"51,668"
2017,Alabama,Percent with drugs specified,61.20906801
2017,Alabama,Number of Drug Overdose Deaths,812
2017,Alabama,Number of Deaths,"51,943"
2017,Alabama,Percent with drugs specified,63.30049261
2017,Alabama,Number of Drug Overdose Deaths,799
2017,Alabama,Number of Deaths,"52,254"
2017,Alabama,Percent with drugs specified,67.83479349
2017,Alabama,Percent with drugs specified,67.16604245
2017,Alabama,Number of Drug Overdose Deaths,801
2017,Alabama,Number of Deaths,"52,267"
2017,Alabama,Number of Drug Overdose Deaths,800
2017,Alabama,Percent with drugs specified,66.125
2017,Alabama,Number of Deaths,"52,232"
2017,Arkansas,Number of Drug Overdose Deaths,386
2017,Arkansas,Number of Deaths,"31,382"
2017,Arkansas,Percent with drugs specified,72.5388601
2017,Arkansas,Number of Drug Overdose Deaths,406
2017,Arkansas,Number of Deaths,"31,596"
2017,Arkansas,Percent with drugs specified,74.38423645
2017,Arkansas,Number of Deaths,"31,823"
2017,Arkansas,Number of Drug Overdose Deaths,425
2017,Arkansas,Percent with drugs specified,72.94117647
2017,Arkansas,Number of Drug Overdose Deaths,380
2017,Arkansas,Number of Deaths,"31,156"
2017,Arkansas,Percent with drugs specified,69.73684211
2017,Arkansas,Percent with drugs specified,69.53125
2017,Arkansas,Number of Drug Overdose Deaths,384
2017,Arkansas,Number of Deaths,"31,113"
2017,Arkansas,Number of Drug Overdose Deaths,395
2017,Arkansas,Percent with drugs specified,74.93670886
2017,Arkansas,Number of Deaths,"31,550"
2017,Arkansas,Percent with drugs specified,72.86432161
2017,Arkansas,Number of Drug Overdose Deaths,398
2017,Arkansas,Number of Deaths,"31,555"
2017,Arkansas,Number of Drug Overdose Deaths,384
2017,Arkansas,Number of Deaths,"31,309"
2017,Arkansas,Percent with drugs specified,70.83333333
2017,Arkansas,Number of Drug Overdose Deaths,383
2017,Arkansas,Number of Deaths,"31,496"
2017,Arkansas,Percent with drugs specified,72.845953
2017,Arkansas,Number of Drug Overdose Deaths,411
2017,Arkansas,Number of Deaths,"31,654"
2017,Arkansas,Percent with drugs specified,73.72262774
2017,Arkansas,Percent with drugs specified,73.90243902
2017,Arkansas,Number of Drug Overdose Deaths,410
2017,Arkansas,Number of Deaths,"31,724"
2017,Arkansas,Number of Drug Overdose Deaths,413
2017,Arkansas,Percent with drugs specified,74.81840194
2017,Arkansas,Number of Deaths,"31,718"
2017,Arizona,Psychostimulants with abuse potential (T43.6),
2017,Arizona,Natural & semi-synthetic opioids (T40.2),
2017,Arizona,Number of Drug Overdose Deaths,"1,418"
2017,Arizona,Cocaine (T40.5),
2017,Arizona,Heroin (T40.1),
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",
2017,Arizona,Number of Deaths,"56,454"
2017,Arizona,Methadone (T40.3),
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",
2017,Arizona,Percent with drugs specified,88.43441467
2017,Arizona,Number of Drug Overdose Deaths,"1,468"
2017,Arizona,Psychostimulants with abuse potential (T43.6),542
2017,Arizona,Natural & semi-synthetic opioids (T40.2),335
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",546
2017,Arizona,Number of Deaths,"57,310"
2017,Arizona,Heroin (T40.1),324
2017,Arizona,Percent with drugs specified,92.37057221
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",215
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",863
2017,Arizona,Cocaine (T40.5),118
2017,Arizona,Methadone (T40.3),72
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",387
2017,Arizona,Number of Deaths,"58,440"
2017,Arizona,Methadone (T40.3),85
2017,Arizona,Cocaine (T40.5),136
2017,Arizona,Natural & semi-synthetic opioids (T40.2),350
2017,Arizona,Heroin (T40.1),341
2017,Arizona,Psychostimulants with abuse potential (T43.6),581
2017,Arizona,Number of Drug Overdose Deaths,"1,555"
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",615
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",936
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",417
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",263
2017,Arizona,Percent with drugs specified,92.9903537
2017,Arizona,Natural & semi-synthetic opioids (T40.2),
2017,Arizona,Number of Drug Overdose Deaths,"1,411"
2017,Arizona,Heroin (T40.1),
2017,Arizona,Number of Deaths,"56,609"
2017,Arizona,Cocaine (T40.5),
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
2017,Arizona,Percent with drugs specified,87.03047484
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",
2017,Arizona,Psychostimulants with abuse potential (T43.6),
2017,Arizona,Methadone (T40.3),
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",
2017,Arizona,Natural & semi-synthetic opioids (T40.2),
2017,Arizona,Percent with drugs specified,86.30910374
2017,Arizona,Heroin (T40.1),
2017,Arizona,Cocaine (T40.5),
2017,Arizona,Number of Drug Overdose Deaths,"1,417"
2017,Arizona,Methadone (T40.3),
2017,Arizona,Number of Deaths,"57,221"
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
2017,Arizona,Psychostimulants with abuse potential (T43.6),
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",
2017,Arizona,Psychostimulants with abuse potential (T43.6),527
2017,Arizona,Number of Drug Overdose Deaths,"1,450"
2017,Arizona,Methadone (T40.3),76
2017,Arizona,Natural & semi-synthetic opioids (T40.2),340
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",862
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",552
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",398
2017,Arizona,Cocaine (T40.5),117
2017,Arizona,Heroin (T40.1),318
2017,Arizona,Percent with drugs specified,91.72413793
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",211
2017,Arizona,Number of Deaths,"57,215"
2017,Arizona,Natural & semi-synthetic opioids (T40.2),333
2017,Arizona,Psychostimulants with abuse potential (T43.6),527
2017,Arizona,Percent with drugs specified,90.4467354
2017,Arizona,Heroin (T40.1),334
2017,Arizona,Number of Drug Overdose Deaths,"1,455"
2017,Arizona,Methadone (T40.3),78
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",195
2017,Arizona,Cocaine (T40.5),116
2017,Arizona,Number of Deaths,"57,013"
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",393
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",866
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",534
2017,Arizona,Number of Drug Overdose Deaths,"1,429"
2017,Arizona,Number of Deaths,"56,269"
2017,Arizona,Cocaine (T40.5),
2017,Arizona,Psychostimulants with abuse potential (T43.6),
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",
2017,Arizona,Methadone (T40.3),
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",
2017,Arizona,Percent with drugs specified,88.03358992
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
2017,Arizona,Natural & semi-synthetic opioids (T40.2),
2017,Arizona,Heroin (T40.1),
2017,Arizona,Natural & semi-synthetic opioids (T40.2),
2017,Arizona,Methadone (T40.3),
2017,Arizona,Cocaine (T40.5),
2017,Arizona,Number of Drug Overdose Deaths,"1,437"
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",
2017,Arizona,Number of Deaths,"56,721"
2017,Arizona,Psychostimulants with abuse potential (T43.6),
2017,Arizona,Percent with drugs specified,89.70076548
2017,Arizona,Heroin (T40.1),
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",
2017,Arizona,Natural & semi-synthetic opioids (T40.2),340
2017,Arizona,Number of Drug Overdose Deaths,"1,517"
2017,Arizona,Number of Deaths,"57,852"
2017,Arizona,Methadone (T40.3),80
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",402
2017,Arizona,Psychostimulants with abuse potential (T43.6),569
2017,Arizona,Heroin (T40.1),338
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",908
2017,Arizona,Percent with drugs specified,92.81476599
2017,Arizona,Cocaine (T40.5),128
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",589
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",249
2017,Arizona,Natural & semi-synthetic opioids (T40.2),342
2017,Arizona,Percent with drugs specified,92.68130406
2017,Arizona,Number of Drug Overdose Deaths,"1,503"
2017,Arizona,Psychostimulants with abuse potential (T43.6),554
2017,Arizona,Methadone (T40.3),72
2017,Arizona,Number of Deaths,"57,694"
2017,Arizona,Cocaine (T40.5),131
2017,Arizona,Heroin (T40.1),335
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",896
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",574
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",396
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",235
2017,Arizona,Psychostimulants with abuse potential (T43.6),558
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",222
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",877
2017,Arizona,Methadone (T40.3),65
2017,Arizona,Natural & semi-synthetic opioids (T40.2),339
2017,Arizona,Number of Drug Overdose Deaths,"1,492"
2017,Arizona,Heroin (T40.1),332
2017,Arizona,Percent with drugs specified,92.35924933
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",553
2017,Arizona,Cocaine (T40.5),120
2017,Arizona,Number of Deaths,"57,531"
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",387
2017,California,Number of Drug Overdose Deaths,"4,714"
2017,California,Number of Deaths,"265,286"
2017,California,Percent with drugs specified,81.50190921
2017,California,Number of Drug Overdose Deaths,"4,900"
2017,California,Number of Deaths,"267,347"
2017,California,Percent with drugs specified,83.2244898
2017,California,Number of Deaths,"269,377"
2017,California,Number of Drug Overdose Deaths,"5,028"
2017,California,Percent with drugs specified,85.46141607
2017,California,Number of Drug Overdose Deaths,"4,724"
2017,California,Number of Deaths,"264,889"
2017,California,Percent with drugs specified,80.63082134
2017,California,Percent with drugs specified,80.23475162
2017,California,Number of Drug Overdose Deaths,"4,771"
2017,California,Number of Deaths,"265,340"
2017,California,Number of Drug Overdose Deaths,"4,870"
2017,California,Percent with drugs specified,82.66940452
2017,California,Number of Deaths,"267,372"
2017,California,Percent with drugs specified,82.36272879
2017,California,Number of Drug Overdose Deaths,"4,808"
2017,California,Number of Deaths,"266,897"
2017,California,Number of Drug Overdose Deaths,"4,721"
2017,California,Number of Deaths,"264,767"
2017,California,Percent with drugs specified,80.97860623
2017,California,Number of Drug Overdose Deaths,"4,761"
2017,California,Number of Deaths,"265,953"
2017,California,Percent with drugs specified,81.89455997
2017,California,Number of Drug Overdose Deaths,"5,059"
2017,California,Number of Deaths,"268,369"
2017,California,Percent with drugs specified,84.81913422
2017,California,Percent with drugs specified,84.48207956
2017,California,Number of Drug Overdose Deaths,"5,078"
2017,California,Number of Deaths,"268,366"
2017,California,Number of Drug Overdose Deaths,"4,972"
2017,California,Percent with drugs specified,83.84955752
2017,California,Number of Deaths,"268,090"
2017,Colorado,Number of Drug Overdose Deaths,989
2017,Colorado,Number of Deaths,"38,521"
2017,Colorado,Percent with drugs specified,82.70980789
2017,Colorado,Number of Drug Overdose Deaths,"1,019"
2017,Colorado,Number of Deaths,"38,380"
2017,Colorado,Percent with drugs specified,84.88714426
2017,Colorado,Number of Deaths,"38,759"
2017,Colorado,Number of Drug Overdose Deaths,"1,040"
2017,Colorado,Percent with drugs specified,85.86538462
2017,Colorado,Number of Drug Overdose Deaths,967
2017,Colorado,Number of Deaths,"38,358"
2017,Colorado,Percent with drugs specified,82.52326784
2017,Colorado,Percent with drugs specified,82.395087
2017,Colorado,Number of Drug Overdose Deaths,977
2017,Colorado,Number of Deaths,"38,236"
2017,Colorado,Number of Drug Overdose Deaths,"1,013"
2017,Colorado,Percent with drugs specified,83.41559724
2017,Colorado,Number of Deaths,"38,367"
2017,Colorado,Percent with drugs specified,83.45035105
2017,Colorado,Number of Drug Overdose Deaths,997
2017,Colorado,Number of Deaths,"38,470"
2017,Colorado,Number of Drug Overdose Deaths,964
2017,Colorado,Number of Deaths,"38,364"
2017,Colorado,Percent with drugs specified,82.67634855
2017,Colorado,Number of Drug Overdose Deaths,983
2017,Colorado,Number of Deaths,"38,410"
2017,Colorado,Percent with drugs specified,83.11291963
2017,Colorado,Number of Drug Overdose Deaths,"1,046"
2017,Colorado,Number of Deaths,"38,704"
2017,Colorado,Percent with drugs specified,85.18164436
2017,Colorado,Percent with drugs specified,85.49172347
2017,Colorado,Number of Drug Overdose Deaths,"1,027"
2017,Colorado,Number of Deaths,"38,590"
2017,Colorado,Number of Drug Overdose Deaths,"1,024"
2017,Colorado,Percent with drugs specified,84.86328125
2017,Colorado,Number of Deaths,"38,542"
2017,Connecticut,Psychostimulants with abuse potential (T43.6),28
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),209
2017,Connecticut,Number of Drug Overdose Deaths,"1,018"
2017,Connecticut,Cocaine (T40.5),267
2017,Connecticut,Heroin (T40.1),465
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",903
2017,Connecticut,Number of Deaths,"31,103"
2017,Connecticut,Methadone (T40.3),78
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",275
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",745
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",581
2017,Connecticut,Percent with drugs specified,99.80353635
2017,Connecticut,Number of Drug Overdose Deaths,"1,081"
2017,Connecticut,Psychostimulants with abuse potential (T43.6),29
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),214
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813
2017,Connecticut,Number of Deaths,"31,374"
2017,Connecticut,Heroin (T40.1),471
2017,Connecticut,Percent with drugs specified,99.81498612
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",648
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",968
2017,Connecticut,Cocaine (T40.5),294
2017,Connecticut,Methadone (T40.3),87
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",289
2017,Connecticut,Number of Deaths,"31,542"
2017,Connecticut,Methadone (T40.3),95
2017,Connecticut,Cocaine (T40.5),290
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),186
2017,Connecticut,Heroin (T40.1),428
2017,Connecticut,Psychostimulants with abuse potential (T43.6),39
2017,Connecticut,Number of Drug Overdose Deaths,"1,080"
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",848
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",967
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",271
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",696
2017,Connecticut,Percent with drugs specified,99.81481481
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),205
2017,Connecticut,Number of Drug Overdose Deaths,994
2017,Connecticut,Heroin (T40.1),468
2017,Connecticut,Number of Deaths,"31,023"
2017,Connecticut,Cocaine (T40.5),247
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",701
2017,Connecticut,Percent with drugs specified,99.79879276
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",262
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",545
2017,Connecticut,Psychostimulants with abuse potential (T43.6),26
2017,Connecticut,Methadone (T40.3),70
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",878
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),209
2017,Connecticut,Percent with drugs specified,99.79695431
2017,Connecticut,Heroin (T40.1),470
2017,Connecticut,Cocaine (T40.5),250
2017,Connecticut,Number of Drug Overdose Deaths,985
2017,Connecticut,Methadone (T40.3),67
2017,Connecticut,Number of Deaths,"30,834"
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",527
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",687
2017,Connecticut,Psychostimulants with abuse potential (T43.6),23
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",263
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",874
2017,Connecticut,Psychostimulants with abuse potential (T43.6),34
2017,Connecticut,Number of Drug Overdose Deaths,"1,074"
2017,Connecticut,Methadone (T40.3),87
2017,Connecticut,Natural & semi-synthetic opioids (T40.2),220
2017,Connecticut,"Opioids (T40.0-T40.4,T40.6)",965
2017,Connecticut,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813
2017,Connecticut,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",294
2017,Connecticut,Cocaine (T40.5),286
2017,Connecticut,Heroin (T40.1),474
2017,Connecticut,Percent with drugs specified,99.81378026
2017,Connecticut,"Synthetic opioids, excl. methadone (T40.4)",641
